BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK_KT,STOCK_SELL_VALUE,CURRENCY,STOCK_SELL_VALUE_THB
2024-05-01,CHINA-WAREHOUSE,MAT-0332,8222A,0.09875,91838,CNY,415107.75999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,8258A,0.101225,94139,CNY,425508.27999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0332,2480A,0.103725,96464,CNY,436017.27999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0332,3109A,0.09375,87188,CNY,394089.75999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,7434A,0.08875,82538,CNY,373071.75999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,6502A,0.103675,96418,CNY,435809.36
2024-05-01,CHINA-WAREHOUSE,MAT-0332,9375A,0.0999,92907,CNY,419939.63999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0332,5380A,0.101175,94093,CNY,425300.36
2024-05-01,CHINA-WAREHOUSE,MAT-0332,1069A,0.098675,91768,CNY,414791.36
2024-05-01,CHINA-WAREHOUSE,MAT-0332,1857A,0.09875,91838,CNY,415107.75999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,5928A,0.098625,91721,CNY,414578.92
2024-05-01,CHINA-WAREHOUSE,MAT-0332,7187A,0.10245,95279,CNY,430661.07999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0332,1394A,0.10225,95093,CNY,429820.36
2024-05-01,CHINA-WAREHOUSE,MAT-0332,9954A,0.0812,75516,CNY,341332.31999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,7596A,0.10125,94163,CNY,425616.75999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,3913A,0.09365,87095,CNY,393669.39999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0332,7293A,0.05615,52220,CNY,236034.39999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0332,9737A,0.08625,80213,CNY,362562.75999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,9656A,0.10115,95232,CNY,430448.63999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0332,6379A,0.078375,72889,CNY,329458.27999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0332,4373A,0.100925,93860,CNY,424247.19999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0332,7049A,0.099875,92884,CNY,419835.67999999993
2024-05-01,CHINA-WAREHOUSE,MAT-0332,1155A,0.10115,94070,CNY,425196.39999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0332,8859A,0.09985,92861,CNY,419731.72
2024-05-01,CHINA-WAREHOUSE,MAT-0332,3528A,0.0175,16275,CNY,73563.0
2024-05-01,CHINA-WAREHOUSE,MAT-0050,S9403A,0.017825,80391,CNY,363367.31999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0050,S2115A,0.197925,892642,CNY,4034741.84
2024-05-01,CHINA-WAREHOUSE,MAT-0236,S4960B,0.00045,2030,CNY,9175.599999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0333,4779A,0.0,23025,CNY,104072.99999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0333,1933A,0.0,690750,CNY,3122189.9999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0333,6303A,0.0,363335,CNY,1642274.2
2024-05-01,CHINA-WAREHOUSE,MAT-0333,7877A,0.0,723906,CNY,3272055.1199999996
2024-05-01,CHINA-WAREHOUSE,MAT-0333,3554A,0.0,184200,CNY,832583.9999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0333,6275A,0.0,184200,CNY,832583.9999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0333,9888A,0.0,366558,CNY,1656842.16
2024-05-01,CHINA-WAREHOUSE,MAT-0216,1748A,0.0,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0216,1240A,0.0,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0217,L5639A,0.153275,606969,CNY,2743499.88
2024-05-01,CHINA-WAREHOUSE,MAT-0373,M1668A,0.00255,24254,CNY,109628.07999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0357,9353,0.009625,1925,CNY,8701.0
2024-05-01,CHINA-WAREHOUSE,MAT-0357,1913,0.05925,11850,CNY,53561.99999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0340,M9362A,0.02475,187853,CNY,849095.5599999999
2024-05-01,CHINA-WAREHOUSE,MAT-0340,M2689A,0.0495,375705,CNY,1698186.5999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0340,M3431A,0.02475,187853,CNY,849095.5599999999
2024-05-01,CHINA-WAREHOUSE,MAT-0340,M7096A,0.0495,375705,CNY,1698186.5999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0340,M4259A,0.0495,375705,CNY,1698186.5999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0340,N1967A,0.05725,434528,CNY,1964066.5599999998
2024-05-01,CHINA-WAREHOUSE,MAT-0340,N2374A,0.08655,656915,CNY,2969255.8
2024-05-01,CHINA-WAREHOUSE,MAT-0008,V7045A,0.0,14893,CNY,67316.36
2024-05-01,CHINA-WAREHOUSE,MAT-0358,V1874A,0.0,14766,CNY,66742.31999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0350,V3408A,0.0,13600,CNY,61471.99999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0350,V3609A,0.025325,344420,CNY,1556778.4
2024-05-01,CHINA-WAREHOUSE,MAT-0284,7182M,0.01875,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0284,7874M,0.04125,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0161,S3674A,0.099,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0042,S6411A,0.090475,389043,CNY,1758474.3599999999
2024-05-01,CHINA-WAREHOUSE,MAT-0256,S4536A,0.09885,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0353,S7150A,0.0217,93310,CNY,421761.19999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0353,S6854A,0.000225,968,CNY,4375.36
2024-05-01,CHINA-WAREHOUSE,MAT-0353,S4723A,0.09895,425485,CNY,1923192.1999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0353,S2029A,0.2969,1276670,CNY,5770548.399999999
2024-05-01,CHINA-WAREHOUSE,MAT-0295,8863A,0.03465,72419,CNY,327333.87999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0295,5212A,0.00275,5748,CNY,25980.96
2024-05-01,CHINA-WAREHOUSE,MAT-0295,2437A,0.0439,91751,CNY,414714.51999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0295,5649A,0.0275,57475,CNY,259786.99999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0250,M6250A,0.00025,1495,CNY,6757.4
2024-05-01,CHINA-WAREHOUSE,MAT-0104,M8883A,0.008625,17595,CNY,79529.4
2024-05-01,CHINA-WAREHOUSE,MAT-0104,M8003A,0.009625,19635,CNY,88750.2
2024-05-01,CHINA-WAREHOUSE,MAT-0115,7850A8804,0.01435,42476,CNY,191991.52
2024-05-01,CHINA-WAREHOUSE,MAT-0037,8184A5004,0.0165,33660,CNY,152143.19999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0037,8117A1940,0.00825,16830,CNY,76071.59999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0037,5019A6641,0.023375,47685,CNY,215536.19999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0179,7929A,0.021475,67432,CNY,304792.63999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0179,5522A,5e-05,471,CNY,2128.9199999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0174,M6552B,0.015375,70110,CNY,316897.19999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0174,M7440C,0.0495,225720,CNY,1020254.3999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0273,M1058C,0.02475,112860,CNY,510127.19999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0273,M7332A,0.045375,206910,CNY,935233.2
2024-05-01,CHINA-WAREHOUSE,MAT-0273,M2543C,0.017875,81510,CNY,368425.19999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0273,M3467A,0.033,150480,CNY,680169.6
2024-05-01,CHINA-WAREHOUSE,MAT-0009,6971A,0.00455,14287,CNY,64577.23999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0009,1105A,0.01105,34697,CNY,156830.43999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0218,9305A1906,0.00075,5513,CNY,24918.76
2024-05-01,CHINA-WAREHOUSE,MAT-0105,M2392B,0.015125,68970,CNY,311744.39999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0105,M7735C,0.00135,6156,CNY,27825.12
2024-05-01,CHINA-WAREHOUSE,MAT-0237,5265B,0.01175,23970,CNY,108344.4
2024-05-01,CHINA-WAREHOUSE,MAT-0237,4421A,0.015125,30855,CNY,139464.59999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0237,2146A,0.07405,151062,CNY,682800.24
2024-05-01,CHINA-WAREHOUSE,MAT-0237,8630A,0.086625,176715,CNY,798751.7999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0237,8053A,0.066,134640,CNY,608572.7999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0237,8381A,0.086625,176715,CNY,798751.7999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0237,3371A,0.077,157080,CNY,710001.6
2024-05-01,CHINA-WAREHOUSE,MAT-0237,1370A,0.022,44880,CNY,202857.59999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0237,5008A,0.083875,171105,CNY,773394.6
2024-05-01,CHINA-WAREHOUSE,MAT-0237,8523A,0.0247,50388,CNY,227753.75999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0237,3922B,0.066,134640,CNY,608572.7999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0237,9476A,0.0275,56100,CNY,253571.99999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0237,3320A,0.079725,162639,CNY,735128.2799999999
2024-05-01,CHINA-WAREHOUSE,MAT-0237,9952A,0.06875,140250,CNY,633929.9999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0116,7728A,0.0036,7344,CNY,33194.88
2024-05-01,CHINA-WAREHOUSE,MAT-0116,1269A,0.0494,100776,CNY,455507.51999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0116,7052A,0.0742,151368,CNY,684183.36
2024-05-01,CHINA-WAREHOUSE,MAT-0116,3906A,0.074225,151419,CNY,684413.8799999999
2024-05-01,CHINA-WAREHOUSE,MAT-0085,2305A,0.011075,22593,CNY,102120.35999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0085,6958A,0.011,22440,CNY,101428.79999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0085,1011A,0.056375,115005,CNY,519822.6
2024-05-01,CHINA-WAREHOUSE,MAT-0085,4566A,0.081075,165393,CNY,747576.36
2024-05-01,CHINA-WAREHOUSE,MAT-0334,1328A5118,0.045075,94207,CNY,425815.63999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0354,M5297C,0.000275,1254,CNY,5668.079999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0280,SCRAP,0.000566,3824,CNY,17284.48
2024-05-01,CHINA-WAREHOUSE,MAT-0231,4540A8731,0.012375,25245,CNY,114107.4
2024-05-01,CHINA-WAREHOUSE,MAT-0231,9350A8607,0.011,22440,CNY,101428.79999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0138,M8857A,0.023725,67379,CNY,304553.07999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0164,M7684B,0.02475,187853,CNY,849095.5599999999
2024-05-01,CHINA-WAREHOUSE,MAT-0164,M3059B,0.012375,93926,CNY,424545.51999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0164,M9466B,0.012375,93926,CNY,424545.51999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0164,M6836A,0.012375,93926,CNY,424545.51999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0106,M2537B,0.031625,240034,CNY,1084953.68
2024-05-01,CHINA-WAREHOUSE,MAT-0106,M8268B,0.00825,62618,CNY,283033.36
2024-05-01,CHINA-WAREHOUSE,MAT-0106,M5612B,0.0385,292215,CNY,1320811.7999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0296,5697A1966,0.02475,49500,CNY,223739.99999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0068,M5969B,0.02475,8168,CNY,36919.35999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0162,M5623B,0.012375,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0162,M9521A,0.012375,0,CNY,0.0
2024-05-01,CHINA-WAREHOUSE,MAT-0207,M5799B,0.01535,31314,CNY,141539.28
2024-05-01,CHINA-WAREHOUSE,MAT-0207,M2980A,0.020625,42075,CNY,190178.99999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0207,M8362A,0.004125,8415,CNY,38035.799999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0207,M9184B,0.0192,39168,CNY,177039.36
2024-05-01,CHINA-WAREHOUSE,MAT-0165,8338A9221,0.02475,50490,CNY,228214.8
2024-05-01,CHINA-WAREHOUSE,MAT-0035,1832B9568C6124,0.0,55440,CNY,250588.8
2024-05-01,CHINA-WAREHOUSE,MAT-0035,2127F6984A7870,0.0249,98604,CNY,445690.07999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0035,3223F1340A2838,0.017675,69993,CNY,316368.36
2024-05-01,CHINA-WAREHOUSE,MAT-0035,2111F7789A6073,0.000275,1089,CNY,4922.28
2024-05-01,CHINA-WAREHOUSE,MAT-0035,6299F5192A1839,0.031575,125037,CNY,565167.24
2024-05-01,CHINA-WAREHOUSE,MAT-0035,3860F8878A4815,0.09485,375606,CNY,1697739.1199999999
2024-05-01,CHINA-WAREHOUSE,MAT-0035,4354F7661A9833,0.0433,171468,CNY,775035.3599999999
2024-05-01,CHINA-WAREHOUSE,MAT-0035,5228F1995A5122,0.081825,324027,CNY,1464602.0399999998
2024-05-01,CHINA-WAREHOUSE,MAT-0035,3687F9398A6057,0.067375,266805,CNY,1205958.5999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0035,9829F1238A5249,0.082475,326601,CNY,1476236.5199999998
2024-05-01,CHINA-WAREHOUSE,MAT-0035,1514F1926A1408,0.063125,249975,CNY,1129887.0
2024-05-01,CHINA-WAREHOUSE,MAT-0035,3369K6277A7051,0.0934,369864,CNY,1671785.2799999998
2024-05-01,CHINA-WAREHOUSE,MAT-0035,8036K6514A2968,0.08785,347886,CNY,1572444.7199999997
2024-05-01,CHINA-WAREHOUSE,MAT-0035,7958K1475A9245,0.089375,353925,CNY,1599740.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0035,7299K3565A2786,0.096125,380655,CNY,1720560.5999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0035,5047K2132A3772,0.06735,266706,CNY,1205511.1199999999
2024-05-01,CHINA-WAREHOUSE,MAT-0011,M3807B,0.0361,83391,CNY,376927.31999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0011,M2754A,0.009625,22234,CNY,100497.68
2024-05-01,CHINA-WAREHOUSE,MAT-0011,M6259B,0.02475,57173,CNY,258421.95999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0011,M8953A,0.066,152460,CNY,689119.2
2024-05-01,CHINA-WAREHOUSE,MAT-0011,M5665B,0.032375,74786,CNY,338032.72
2024-05-01,CHINA-WAREHOUSE,MAT-0011,M3037B,0.0,114345,CNY,516839.39999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0285,6938A1344,0.061875,126225,CNY,570537.0
2024-05-01,CHINA-WAREHOUSE,MAT-0285,4341A8894,0.072875,148665,CNY,671965.7999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0281,A4804A,0.0,96727,CNY,437206.04
2024-05-01,CHINA-WAREHOUSE,MAT-0281,A3279A,0.0,96727,CNY,437206.04
2024-05-01,CHINA-WAREHOUSE,MAT-0281,A5413A,0.0,96080,CNY,434281.6
2024-05-01,CHINA-WAREHOUSE,MAT-0282,SCRAP,4.7e-05,667,CNY,3014.8399999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0067,5707B8798A,0.02475,55193,CNY,249472.36
2024-05-01,CHINA-WAREHOUSE,MAT-0066,2165J6864A2898,0.0576,389376,CNY,1759979.5199999998
2024-05-01,CHINA-WAREHOUSE,MAT-0066,4286K8769A6747,0.0165,111540,CNY,504160.79999999993
2024-05-01,CHINA-WAREHOUSE,MAT-0017,4998A,0.0,6398,CNY,28918.959999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0017,2016A,0.0,437163,CNY,1975976.7599999998
2024-05-01,CHINA-WAREHOUSE,MAT-0017,5161A,0.0,543788,CNY,2457921.76
2024-05-01,CHINA-WAREHOUSE,MAT-0017,8479A,0.0,447399,CNY,2022243.4799999997
2024-05-01,CHINA-WAREHOUSE,MAT-0017,1365A,0.0,234575,CNY,1060279.0
2024-05-01,CHINA-WAREHOUSE,MAT-0017,5902A,0.013725,852147,CNY,3851704.4399999995
2024-05-01,CHINA-WAREHOUSE,MAT-0017,9157A,0.00625,831035,CNY,3756278.1999999997
2024-05-01,CHINA-WAREHOUSE,MAT-0017,5580A,0.0,277225,CNY,1253056.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0017,2657A,0.0,287461,CNY,1299323.72
2024-05-01,CHINA-WAREHOUSE,MAT-0017,8790A,0.0,191925,CNY,867500.9999999999
2024-05-01,CHINA-WAREHOUSE,MAT-0017,6970A,0.02,841698,CNY,3804474.9599999995
2024-05-01,CHINA-WAREHOUSE,MAT-0017,3190A,0.0,831249,CNY,3757245.4799999995
2024-05-01,CHINA-WAREHOUSE,MAT-0017,9728A,0.0,713748,CNY,3226140.9599999995
2024-05-01,CHINA-WAREHOUSE,MAT-0017,8070A,0.0,767700,CNY,3470003.9999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0175,M6244B,0.01215,32562,CNY,147180.24
2024-05-01,CHINA-WAREHOUSE,MAT-0175,M3837B,0.042575,114101,CNY,515736.51999999996
2024-05-01,CHINA-WAREHOUSE,MAT-0175,M1250B,0.004125,11055,CNY,49968.6
2024-05-01,CHINA-WAREHOUSE,MAT-0392,M4196B,0.007625,20435,CNY,92366.2
2024-05-01,CHINA-WAREHOUSE,MAT-0188,4399B,0.07425,477428,CNY,2157974.5599999996
2024-05-01,CHINA-WAREHOUSE,MAT-0188,4165A,0.02475,159143,CNY,719326.36
2024-05-01,CHINA-WAREHOUSE,MAT-0188,2044A,0.07425,477428,CNY,2157974.5599999996
2024-05-01,CHINA-WAREHOUSE,MAT-0188,7238B,0.055,353650,CNY,1598497.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A9975A,0.005,63800,CNY,288376.0
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A2496A,0.04375,558250,CNY,2523289.9999999995
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A2059A,0.0225,287100,CNY,1297691.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A3847A,0.022475,286781,CNY,1296250.1199999999
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A9180A,0.0225,287100,CNY,1297691.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A3589A,0.0225,287100,CNY,1297691.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A5438A,0.0275,350900,CNY,1586067.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A9426A,0.0225,287100,CNY,1297691.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A8721A,0.02235,285186,CNY,1289040.72
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A2741A,0.022475,286781,CNY,1296250.1199999999
2024-05-01,CHINA-WAREHOUSE,MAT-0166,A4085A,0.0225,287100,CNY,1297691.9999999998
2024-05-01,CHINA-WAREHOUSE,MAT-0254,A1342A,0.0178,227128,CNY,1026618.5599999999
2024-05-01,CHINA-WAREHOUSE,MAT-0393,3025A,0.079275,296489,CNY,1340130.2799999998
2024-05-01,CHINA-WAREHOUSE,MAT-0393,5274A,0.01925,71995,CNY,325417.39999999997
2024-06-01,CHINA-WAREHOUSE,MAT-0045,SCRAP,0.00029,374,CNY,1690.4799999999998
2024-06-01,CHINA-WAREHOUSE,MAT-0417,9242A,0.00065,1866,CNY,8434.32
2024-06-01,CHINA-WAREHOUSE,MAT-0417,5483A,0.03705,106334,CNY,480629.67999999993
2024-06-01,CHINA-WAREHOUSE,MAT-0128,SCRAP,0.000114,416,CNY,1880.3199999999997
2024-06-01,CHINA-WAREHOUSE,MAT-0193,3621D4296,0.06732,394495,CNY,1783117.4
2024-06-01,CHINA-WAREHOUSE,MAT-0193,3673,0.00068,3985,CNY,18012.199999999997
2024-06-01,CHINA-WAREHOUSE,MAT-0193,2178D7037,0.022453,131575,CNY,594719.0
2024-06-01,CHINA-WAREHOUSE,MAT-0193,3673,0.022453,131575,CNY,594719.0
2024-06-01,CHINA-WAREHOUSE,MAT-0193,3913,0.067359,394724,CNY,1784152.4799999997
2024-06-01,CHINA-WAREHOUSE,MAT-0193,9580,0.089812,526298,CNY,2378866.96
2024-06-01,CHINA-WAREHOUSE,MAT-0193,5220,0.022453,131575,CNY,594719.0
2024-06-01,CHINA-WAREHOUSE,MAT-0058,FLOORSWEEP,0.001209,5974,CNY,27002.479999999996
2024-06-01,CHINA-WAREHOUSE,MAT-0311,SCRAP,0.015546,93900,CNY,424427.99999999994
2024-06-01,CHINA-WAREHOUSE,MAT-0374,5742C3876,0.000325,2090,CNY,9446.8
2024-06-01,CHINA-WAREHOUSE,MAT-0374,8770C3557,0.0055,35365,CNY,159849.8
2024-06-01,CHINA-WAREHOUSE,MAT-0374,6892C9258,0.017875,114936,CNY,519510.72
2024-06-01,CHINA-WAREHOUSE,MAT-0374,3492C7603,0.00135,8681,CNY,39238.119999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0374,2048C6588,0.00125,8038,CNY,36331.759999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0374,9229C2576,0.02335,150141,CNY,678637.32
2024-06-01,CHINA-WAREHOUSE,MAT-0374,7864C3602,0.037125,238714,CNY,1078987.2799999998
2024-06-01,CHINA-WAREHOUSE,MAT-0374,6077C3580,0.023375,150301,CNY,679360.5199999999
2024-06-01,CHINA-WAREHOUSE,MAT-0374,9802C8299,0.012375,79571,CNY,359660.92
2024-06-01,CHINA-WAREHOUSE,MAT-0391,7974,0.019025,59739,CNY,270020.27999999997
2024-06-01,CHINA-WAREHOUSE,MAT-0046,5610,0.020125,129404,CNY,584906.08
2024-06-01,CHINA-WAREHOUSE,MAT-0046,3126,0.035225,226497,CNY,1023766.44
2024-06-01,CHINA-WAREHOUSE,MAT-0046,7679,0.08385,539156,CNY,2436985.1199999996
2024-06-01,CHINA-WAREHOUSE,MAT-0046,3347,0.053625,344809,CNY,1558536.68
2024-06-01,CHINA-WAREHOUSE,MAT-0046,2920,0.07425,477428,CNY,2157974.5599999996
2024-06-01,CHINA-WAREHOUSE,MAT-0046,9044,0.002575,16557,CNY,74837.64
2024-06-01,CHINA-WAREHOUSE,MAT-0046,6216,0.010975,70569,CNY,318971.87999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0046,2754,0.04675,300603,CNY,1358725.5599999998
2024-06-01,CHINA-WAREHOUSE,MAT-0046,8648,0.01375,88413,CNY,399626.75999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0046,9511,0.02475,159143,CNY,719326.36
2024-06-01,CHINA-WAREHOUSE,MAT-0046,4211,0.041925,269578,CNY,1218492.5599999998
2024-06-01,CHINA-WAREHOUSE,MAT-0046,2248,0.075625,486269,CNY,2197935.88
2024-06-01,CHINA-WAREHOUSE,MAT-0046,7253,0.064575,415217,CNY,1876780.8399999999
2024-06-01,CHINA-WAREHOUSE,MAT-0046,1986,0.0642,412806,CNY,1865883.1199999999
2024-06-01,CHINA-WAREHOUSE,MAT-0046,1481,0.01375,88413,CNY,399626.75999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0046,1660,0.02475,159143,CNY,719326.36
2024-06-01,CHINA-WAREHOUSE,MAT-0046,8800,0.060475,388854,CNY,1757620.0799999998
2024-06-01,CHINA-WAREHOUSE,MAT-0046,5240,0.0495,318285,CNY,1438648.2
2024-06-01,CHINA-WAREHOUSE,MAT-0430,6940,0.017575,55186,CNY,249440.71999999997
2024-06-01,CHINA-WAREHOUSE,MAT-0430,2902,0.001375,4318,CNY,19517.359999999997
2024-06-01,CHINA-WAREHOUSE,MAT-0430,1273,0.024725,77637,CNY,350919.24
2024-06-01,CHINA-WAREHOUSE,MAT-0430,9387,0.023375,73398,CNY,331758.95999999996
2024-06-01,CHINA-WAREHOUSE,MAT-0194,SCRAP,9.7e-05,305,CNY,1378.6
2024-06-01,CHINA-WAREHOUSE,MAT-0257,SCRAP,7.5e-05,153,CNY,691.56
2024-06-01,CHINA-WAREHOUSE,MAT-0078,SCRAP,3.4e-05,114,CNY,515.28
2024-06-01,CHINA-WAREHOUSE,MAT-0195,7680,0.0002,628,CNY,2838.56
2024-06-01,CHINA-WAREHOUSE,MAT-0195,8508,0.0137,43018,CNY,194441.36
2024-06-01,CHINA-WAREHOUSE,MAT-0195,6058,0.02565,80541,CNY,364045.31999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0195,8887,0.1333,418562,CNY,1891900.2399999998
2024-06-01,CHINA-WAREHOUSE,MAT-0195,6938,0.044,138160,CNY,624483.2
2024-06-01,CHINA-WAREHOUSE,MAT-0195,5314,0.049375,155038,CNY,700771.7599999999
2024-06-01,CHINA-WAREHOUSE,MAT-0195,8293,0.0476,149464,CNY,675577.2799999999
2024-06-01,CHINA-WAREHOUSE,MAT-0195,2156,0.015125,47493,CNY,214668.36
2024-06-01,CHINA-WAREHOUSE,MAT-0195,8759,0.08925,280245,CNY,1266707.4
2024-06-01,CHINA-WAREHOUSE,MAT-0195,6259,0.049375,155038,CNY,700771.7599999999
2024-06-01,CHINA-WAREHOUSE,MAT-0195,2659,0.02475,77715,CNY,351271.8
2024-06-01,CHINA-WAREHOUSE,MAT-0195,4912,0.0165,51810,CNY,234181.19999999998
2024-06-01,CHINA-WAREHOUSE,MAT-0195,6733,0.037975,119242,CNY,538973.84
2024-06-01,CHINA-WAREHOUSE,MAT-0195,8750,0.009625,30223,CNY,136607.96
2024-06-01,CHINA-WAREHOUSE,MAT-0082,5148A,0.0007,5971,CNY,26988.92
2024-06-01,CHINA-WAREHOUSE,MAT-0082,3935A,0.025,213250,CNY,963889.9999999999
2024-06-01,CHINA-WAREHOUSE,MAT-0082,3351A,0.10245,873899,CNY,3950023.4799999995
2024-06-01,CHINA-WAREHOUSE,MAT-0082,4249A,0.07375,629088,CNY,2843477.76
2024-06-01,CHINA-WAREHOUSE,MAT-0082,2785A,0.1,853000,CNY,3855559.9999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0082,1382A,0.031175,265923,CNY,1201971.96
2024-06-01,CHINA-WAREHOUSE,MAT-0082,6176A,0.00125,10663,CNY,48196.759999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0082,9762A,0.00125,10663,CNY,48196.759999999995
2024-06-01,CHINA-WAREHOUSE,MAT-0082,6995A,0.0625,533125,CNY,2409725.0
2024-06-01,CHINA-WAREHOUSE,MAT-0082,1614A,0.04125,351863,CNY,1590420.7599999998
2024-06-01,CHINA-WAREHOUSE,MAT-0082,9325A,0.01375,117288,CNY,530141.7599999999
