BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY,MONTH,EXCHANGE_RATE,SELL_VALUE_THB
2024-07-31,CHINA-WAREHOUSE,MAT-0017,5580A,0,KG,277225,CNY,2024-07,4.53,1255829.25
2024-07-31,CHINA-WAREHOUSE,MAT-0017,2657A,0,KG,287461,CNY,2024-07,4.53,1302198.33
2024-07-31,CHINA-WAREHOUSE,MAT-0017,8790A,0,KG,191925,CNY,2024-07,4.53,869420.25
2024-07-31,CHINA-WAREHOUSE,MAT-0017,6970A,20000,KG,841698,CNY,2024-07,4.53,3812891.9400000004
2024-07-31,CHINA-WAREHOUSE,MAT-0017,3190A,0,KG,831249,CNY,2024-07,4.53,3765557.97
2024-07-31,CHINA-WAREHOUSE,MAT-0017,9728A,0,KG,713748,CNY,2024-07,4.53,3233278.4400000004
2024-07-31,CHINA-WAREHOUSE,MAT-0017,8070A,0,KG,767700,CNY,2024-07,4.53,3477681.0
2024-07-31,CHINA-WAREHOUSE,MAT-0175,M3837B,27350,KG,73298,CNY,2024-07,4.53,332039.94
2024-07-31,CHINA-WAREHOUSE,MAT-0175,M1250B,53625,KG,143715,CNY,2024-07,4.53,651028.9500000001
2024-07-31,CHINA-WAREHOUSE,MAT-0175,M6974A,15125,KG,40535,CNY,2024-07,4.53,183623.55000000002
2024-07-31,CHINA-WAREHOUSE,MAT-0175,M3273A,34375,KG,92125,CNY,2024-07,4.53,417326.25
2024-07-31,CHINA-WAREHOUSE,MAT-0392,M4083A,24750,KG,66330,CNY,2024-07,4.53,300474.9
2024-07-31,CHINA-WAREHOUSE,MAT-0392,M4196B,100,KG,268,CNY,2024-07,4.53,1214.04
2024-07-31,CHINA-WAREHOUSE,MAT-0188,4399B,73625,KG,473409,CNY,2024-07,4.53,2144542.77
2024-07-31,CHINA-WAREHOUSE,MAT-0188,4165A,24750,KG,159143,CNY,2024-07,4.53,720917.79
2024-07-31,CHINA-WAREHOUSE,MAT-0188,2044A,75625,KG,486269,CNY,2024-07,4.53,2202798.5700000003
2024-07-31,CHINA-WAREHOUSE,MAT-0188,7238B,56375,KG,362491,CNY,2024-07,4.53,1642084.23
2024-07-31,CHINA-WAREHOUSE,MAT-0188,3079A,8250,KG,53048,CNY,2024-07,4.53,240307.44
2024-07-31,CHINA-WAREHOUSE,MAT-0188,6233B,79700,KG,512471,CNY,2024-07,4.53,2321493.6300000004
2024-07-31,CHINA-WAREHOUSE,MAT-0188,3769A,49500,KG,318285,CNY,2024-07,4.53,1441831.05
2024-07-31,CHINA-WAREHOUSE,MAT-0188,5828B,57700,KG,371011,CNY,2024-07,4.53,1680679.83
2024-07-31,CHINA-WAREHOUSE,MAT-0087,S4534A,24750,KG,112860,CNY,2024-07,4.53,511255.80000000005
2024-07-31,CHINA-WAREHOUSE,MAT-0232,S1701A,49500,KG,225720,CNY,2024-07,4.53,1022511.6000000001
2024-07-31,CHINA-WAREHOUSE,MAT-0232,S1701A,48125,KG,219450,CNY,2024-07,4.53,994108.5
2024-07-31,CHINA-WAREHOUSE,MAT-0232,S5727A,125125,KG,570570,CNY,2024-07,4.53,2584682.1
2024-07-31,CHINA-WAREHOUSE,MAT-0118,S2248A,24650,KG,112404,CNY,2024-07,4.53,509190.12000000005
2024-07-31,CHINA-WAREHOUSE,MAT-0018,E2271A,111375,KG,507870,CNY,2024-07,4.53,2300651.1
2024-07-31,CHINA-WAREHOUSE,MAT-0018,E6152A,45250,KG,206340,CNY,2024-07,4.53,934720.2000000001
2024-07-31,CHINA-WAREHOUSE,MAT-0018,E8472A,148500,KG,677160,CNY,2024-07,4.53,3067534.8000000003
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A9975A,5000,KG,64700,CNY,2024-07,4.53,293091.0
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A2496A,43750,KG,566125,CNY,2024-07,4.53,2564546.25
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A2059A,22500,KG,291150,CNY,2024-07,4.53,1318909.5
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A3847A,22475,KG,290827,CNY,2024-07,4.53,1317446.31
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A9180A,22500,KG,291150,CNY,2024-07,4.53,1318909.5
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A3589A,22500,KG,291150,CNY,2024-07,4.53,1318909.5
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A5438A,27500,KG,355850,CNY,2024-07,4.53,1612000.5
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A9426A,22500,KG,291150,CNY,2024-07,4.53,1318909.5
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A8721A,22350,KG,289209,CNY,2024-07,4.53,1310116.77
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A2741A,22475,KG,290827,CNY,2024-07,4.53,1317446.31
2024-07-31,CHINA-WAREHOUSE,MAT-0166,A4085A,22500,KG,291150,CNY,2024-07,4.53,1318909.5
2024-07-31,CHINA-WAREHOUSE,MAT-0254,A1342A,17800,KG,183162,CNY,2024-07,4.53,829723.8600000001
2024-07-31,CHINA-WAREHOUSE,MAT-0091,L3757A,51000,KG,201960,CNY,2024-07,4.53,914878.8
2024-07-31,CHINA-WAREHOUSE,MAT-0393,3025A,78725,KG,294432,CNY,2024-07,4.53,1333776.96
2024-07-31,CHINA-WAREHOUSE,MAT-0393,5274A,68325,KG,255536,CNY,2024-07,4.53,1157578.08
2024-07-31,CHINA-WAREHOUSE,MAT-0393,1709A,49475,KG,185037,CNY,2024-07,4.53,838217.6100000001
2024-07-31,CHINA-WAREHOUSE,MAT-0060,M4312B,33000,KG,132990,CNY,2024-07,4.53,602444.7000000001
2024-07-31,CHINA-WAREHOUSE,MAT-0060,M8994A,41250,KG,166238,CNY,2024-07,4.53,753058.14
2024-07-31,CHINA-WAREHOUSE,MAT-0394,M9715A,24750,KG,160057,CNY,2024-07,4.53,725058.2100000001
2024-07-31,CHINA-WAREHOUSE,MAT-0167,M8694A,118250,KG,358298,CNY,2024-07,4.53,1623089.9400000002
2024-07-31,CHINA-WAREHOUSE,MAT-0167,N4163A,30250,KG,91658,CNY,2024-07,4.53,415210.74000000005
2024-08-31,CHINA-WAREHOUSE,MAT-0045,SCRAP,24,KG,31,CNY,2024-08,4.53,140.43
2024-08-31,CHINA-WAREHOUSE,MAT-0401,SCRAP,669,KG,3921,CNY,2024-08,4.53,17762.13
2024-08-31,CHINA-WAREHOUSE,MAT-0417,9242A,650,KG,1866,CNY,2024-08,4.53,8452.98
2024-08-31,CHINA-WAREHOUSE,MAT-0417,5483A,30550,KG,87679,CNY,2024-08,4.53,397185.87
2024-08-31,CHINA-WAREHOUSE,MAT-0128,SCRAP,114,KG,416,CNY,2024-08,4.53,1884.48
2024-08-31,CHINA-WAREHOUSE,MAT-0193,3621D4296,33320,KG,195255,CNY,2024-08,4.53,884505.15
2024-08-31,CHINA-WAREHOUSE,MAT-0193,2178D7037,22440,KG,131498,CNY,2024-08,4.53,595685.9400000001
2024-08-31,CHINA-WAREHOUSE,MAT-0193,3673,680,KG,3985,CNY,2024-08,4.53,18052.05
2024-08-31,CHINA-WAREHOUSE,MAT-0193,3913,66640,KG,390510,CNY,2024-08,4.53,1769010.3
2024-08-31,CHINA-WAREHOUSE,MAT-0193,9580,89760,KG,525994,CNY,2024-08,4.53,2382752.8200000003
2024-08-31,CHINA-WAREHOUSE,MAT-0193,5220,22440,KG,131498,CNY,2024-08,4.53,595685.9400000001
2024-08-31,CHINA-WAREHOUSE,MAT-0058,FLOORSWEEP,1366,KG,6746,CNY,2024-08,4.53,30559.38
2024-08-31,CHINA-WAREHOUSE,MAT-0311,SCRAP,15946,KG,96314,CNY,2024-08,4.53,436302.42000000004
2024-08-31,CHINA-WAREHOUSE,MAT-0374,5742C3876,325,KG,2090,CNY,2024-08,4.53,9467.7
2024-08-31,CHINA-WAREHOUSE,MAT-0374,3492C7603,1350,KG,8681,CNY,2024-08,4.53,39324.93
2024-08-31,CHINA-WAREHOUSE,MAT-0374,2048C6588,1250,KG,8038,CNY,2024-08,4.53,36412.14
2024-08-31,CHINA-WAREHOUSE,MAT-0374,9229C2576,21950,KG,141139,CNY,2024-08,4.53,639359.67
2024-08-31,CHINA-WAREHOUSE,MAT-0374,7864C3602,37100,KG,238553,CNY,2024-08,4.53,1080645.09
2024-08-31,CHINA-WAREHOUSE,MAT-0374,6077C3580,23325,KG,149980,CNY,2024-08,4.53,679409.4
2024-08-31,CHINA-WAREHOUSE,MAT-0374,9802C8299,12375,KG,79571,CNY,2024-08,4.53,360456.63
2024-08-31,CHINA-WAREHOUSE,MAT-0391,7017,0,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0391,1494,0,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0391,5006,0,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0119,4371,0,KG,8841,CNY,2024-08,4.53,40049.73
2024-08-31,CHINA-WAREHOUSE,MAT-0119,3022,0,KG,8841,CNY,2024-08,4.53,40049.73
2024-08-31,CHINA-WAREHOUSE,MAT-0119,3202,0,KG,8841,CNY,2024-08,4.53,40049.73
2024-08-31,CHINA-WAREHOUSE,MAT-0069,9142,21600,KG,144504,CNY,2024-08,4.53,654603.12
2024-08-31,CHINA-WAREHOUSE,MAT-0046,3347,6875,KG,44206,CNY,2024-08,4.53,200253.18000000002
2024-08-31,CHINA-WAREHOUSE,MAT-0046,2920,74250,KG,477428,CNY,2024-08,4.53,2162748.8400000003
2024-08-31,CHINA-WAREHOUSE,MAT-0046,6216,25,KG,161,CNY,2024-08,4.53,729.33
2024-08-31,CHINA-WAREHOUSE,MAT-0046,4211,41925,KG,269578,CNY,2024-08,4.53,1221188.34
2024-08-31,CHINA-WAREHOUSE,MAT-0046,2248,75625,KG,486269,CNY,2024-08,4.53,2202798.5700000003
2024-08-31,CHINA-WAREHOUSE,MAT-0046,7253,64575,KG,415217,CNY,2024-08,4.53,1880933.01
2024-08-31,CHINA-WAREHOUSE,MAT-0046,1986,64200,KG,412806,CNY,2024-08,4.53,1870011.1800000002
2024-08-31,CHINA-WAREHOUSE,MAT-0046,1481,13750,KG,88413,CNY,2024-08,4.53,400510.89
2024-08-31,CHINA-WAREHOUSE,MAT-0046,1660,24750,KG,159143,CNY,2024-08,4.53,720917.79
2024-08-31,CHINA-WAREHOUSE,MAT-0046,8800,60475,KG,388854,CNY,2024-08,4.53,1761508.62
2024-08-31,CHINA-WAREHOUSE,MAT-0046,5240,49500,KG,318285,CNY,2024-08,4.53,1441831.05
2024-08-31,CHINA-WAREHOUSE,MAT-0046,3296,0,KG,8841,CNY,2024-08,4.53,40049.73
2024-08-31,CHINA-WAREHOUSE,MAT-0046,9071,0,KG,8841,CNY,2024-08,4.53,40049.73
2024-08-31,CHINA-WAREHOUSE,MAT-0046,2793,0,KG,8520,CNY,2024-08,4.53,38595.6
2024-08-31,CHINA-WAREHOUSE,MAT-0430,6940,17075,KG,53616,CNY,2024-08,4.53,242880.48
2024-08-31,CHINA-WAREHOUSE,MAT-0430,2902,1375,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0430,1273,24725,KG,81954,CNY,2024-08,4.53,371251.62
2024-08-31,CHINA-WAREHOUSE,MAT-0430,9387,22200,KG,74026,CNY,2024-08,4.53,335337.78
2024-08-31,CHINA-WAREHOUSE,MAT-0430,7348,0,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0209,3927,0,KG,314,CNY,2024-08,4.53,1422.42
2024-08-31,CHINA-WAREHOUSE,MAT-0209,2586,0,KG,314,CNY,2024-08,4.53,1422.42
2024-08-31,CHINA-WAREHOUSE,MAT-0209,7494,0,KG,314,CNY,2024-08,4.53,1422.42
2024-08-31,CHINA-WAREHOUSE,MAT-0272,SCRAP,66,KG,425,CNY,2024-08,4.53,1925.25
2024-08-31,CHINA-WAREHOUSE,MAT-0194,SCRAP,256,KG,804,CNY,2024-08,4.53,3642.1200000000003
2024-08-31,CHINA-WAREHOUSE,MAT-0257,SCRAP,287,KG,582,CNY,2024-08,4.53,2636.46
2024-08-31,CHINA-WAREHOUSE,MAT-0078,SCRAP,34,KG,114,CNY,2024-08,4.53,516.4200000000001
2024-08-31,CHINA-WAREHOUSE,MAT-0195,8508,1325,KG,4161,CNY,2024-08,4.53,18849.33
2024-08-31,CHINA-WAREHOUSE,MAT-0195,6058,900,KG,2826,CNY,2024-08,4.53,12801.78
2024-08-31,CHINA-WAREHOUSE,MAT-0195,8887,120925,KG,379705,CNY,2024-08,4.53,1720063.6500000001
2024-08-31,CHINA-WAREHOUSE,MAT-0195,6938,44000,KG,138160,CNY,2024-08,4.53,625864.8
2024-08-31,CHINA-WAREHOUSE,MAT-0195,5314,49375,KG,155038,CNY,2024-08,4.53,702322.14
2024-08-31,CHINA-WAREHOUSE,MAT-0195,8293,33850,KG,106289,CNY,2024-08,4.53,481489.17000000004
2024-08-31,CHINA-WAREHOUSE,MAT-0195,2156,15125,KG,47493,CNY,2024-08,4.53,215143.29
2024-08-31,CHINA-WAREHOUSE,MAT-0195,8759,89250,KG,280245,CNY,2024-08,4.53,1269509.85
2024-08-31,CHINA-WAREHOUSE,MAT-0195,6259,49375,KG,155038,CNY,2024-08,4.53,702322.14
2024-08-31,CHINA-WAREHOUSE,MAT-0195,2659,24750,KG,77715,CNY,2024-08,4.53,352048.95
2024-08-31,CHINA-WAREHOUSE,MAT-0195,4912,16500,KG,51810,CNY,2024-08,4.53,234699.30000000002
2024-08-31,CHINA-WAREHOUSE,MAT-0195,6733,37975,KG,119242,CNY,2024-08,4.53,540166.26
2024-08-31,CHINA-WAREHOUSE,MAT-0195,8750,9625,KG,30223,CNY,2024-08,4.53,136910.19
2024-08-31,CHINA-WAREHOUSE,MAT-0195,8073,0,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0195,2596,0,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0195,7170,0,KG,4318,CNY,2024-08,4.53,19560.54
2024-08-31,CHINA-WAREHOUSE,MAT-0082,5148A,675,KG,5758,CNY,2024-08,4.53,26083.74
2024-08-31,CHINA-WAREHOUSE,MAT-0082,6176A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0082,9762A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0082,6995A,62500,KG,533125,CNY,2024-08,4.53,2415056.25
2024-08-31,CHINA-WAREHOUSE,MAT-0082,1614A,41250,KG,351863,CNY,2024-08,4.53,1593939.3900000001
2024-08-31,CHINA-WAREHOUSE,MAT-0082,9325A,13750,KG,117288,CNY,2024-08,4.53,531314.64
2024-08-31,CHINA-WAREHOUSE,MAT-0082,6568A,80000,KG,682400,CNY,2024-08,4.53,3091272.0
2024-08-31,CHINA-WAREHOUSE,MAT-0082,7648A,30000,KG,255900,CNY,2024-08,4.53,1159227.0
2024-08-31,CHINA-WAREHOUSE,MAT-0082,3935A,36250,KG,309213,CNY,2024-08,4.53,1400734.8900000001
2024-08-31,CHINA-WAREHOUSE,MAT-0082,3351A,102450,KG,873899,CNY,2024-08,4.53,3958762.47
2024-08-31,CHINA-WAREHOUSE,MAT-0082,4249A,3750,KG,31988,CNY,2024-08,4.53,144905.64
2024-08-31,CHINA-WAREHOUSE,MAT-0082,1382A,31175,KG,265923,CNY,2024-08,4.53,1204631.1900000002
2024-08-31,CHINA-WAREHOUSE,MAT-0082,2854A,15000,KG,127950,CNY,2024-08,4.53,579613.5
2024-08-31,CHINA-WAREHOUSE,MAT-0082,9097A,23750,KG,202588,CNY,2024-08,4.53,917723.64
2024-08-31,CHINA-WAREHOUSE,MAT-0082,8969A,52500,KG,447825,CNY,2024-08,4.53,2028647.25
2024-08-31,CHINA-WAREHOUSE,MAT-0082,2051A,3750,KG,31988,CNY,2024-08,4.53,144905.64
2024-08-31,CHINA-WAREHOUSE,MAT-0082,6243A,63750,KG,543788,CNY,2024-08,4.53,2463359.64
2024-08-31,CHINA-WAREHOUSE,MAT-0196,2138A,1075,KG,9170,CNY,2024-08,4.53,41540.100000000006
2024-08-31,CHINA-WAREHOUSE,MAT-0196,1741A,91175,KG,777723,CNY,2024-08,4.53,3523085.1900000004
2024-08-31,CHINA-WAREHOUSE,MAT-0196,2117A,44875,KG,382784,CNY,2024-08,4.53,1734011.52
2024-08-31,CHINA-WAREHOUSE,MAT-0196,9452A,3750,KG,31988,CNY,2024-08,4.53,144905.64
2024-08-31,CHINA-WAREHOUSE,MAT-0196,6066A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,2649A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,8221A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,8322A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,4365A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,7397A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,7583A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,2172A,3750,KG,31988,CNY,2024-08,4.53,144905.64
2024-08-31,CHINA-WAREHOUSE,MAT-0196,4220A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,4172A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,6627A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,1120A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,7890A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,3517A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,3313A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,9647A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,3473A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,6295A,2500,KG,21325,CNY,2024-08,4.53,96602.25
2024-08-31,CHINA-WAREHOUSE,MAT-0196,7563A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0196,3386A,10000,KG,85300,CNY,2024-08,4.53,386409.0
2024-08-31,CHINA-WAREHOUSE,MAT-0196,8089A,8750,KG,74638,CNY,2024-08,4.53,338110.14
2024-08-31,CHINA-WAREHOUSE,MAT-0196,5824A,48750,KG,415838,CNY,2024-08,4.53,1883746.1400000001
2024-08-31,CHINA-WAREHOUSE,MAT-0196,9479A,3750,KG,31988,CNY,2024-08,4.53,144905.64
2024-08-31,CHINA-WAREHOUSE,MAT-0196,3835A,1250,KG,10663,CNY,2024-08,4.53,48303.39
2024-08-31,CHINA-WAREHOUSE,MAT-0047,8958A,650,KG,5545,CNY,2024-08,4.53,25118.850000000002
2024-08-31,CHINA-WAREHOUSE,MAT-0047,1825A,84975,KG,724837,CNY,2024-08,4.53,3283511.6100000003
2024-08-31,CHINA-WAREHOUSE,MAT-0047,4531A,12475,KG,106412,CNY,2024-08,4.53,482046.36000000004
2024-08-31,CHINA-WAREHOUSE,MAT-0047,3175A,5000,KG,42650,CNY,2024-08,4.53,193204.5
2024-08-31,CHINA-WAREHOUSE,MAT-0094,2542A,1800,KG,1674,CNY,2024-08,4.53,7583.22
2024-08-31,CHINA-WAREHOUSE,MAT-0258,SCRAP,2962,KG,17358,CNY,2024-08,4.53,78631.74
2024-08-31,CHINA-WAREHOUSE,MAT-0098,9004A,1250,KG,2788,CNY,2024-08,4.53,12629.640000000001
2024-08-31,CHINA-WAREHOUSE,MAT-0098,8715A,1175,KG,2620,CNY,2024-08,4.53,11868.6
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M8070B,475,KG,2043,CNY,2024-08,4.53,9254.79
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M4932C,6650,KG,28595,CNY,2024-08,4.53,129535.35
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M4750A,15125,KG,65038,CNY,2024-08,4.53,294622.14
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M6973A,74250,KG,319275,CNY,2024-08,4.53,1446315.75
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M2751B,24750,KG,106425,CNY,2024-08,4.53,482105.25
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M4436A,20625,KG,88688,CNY,2024-08,4.53,401756.64
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M1790B,4125,KG,17738,CNY,2024-08,4.53,80353.14
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M3409C,19250,KG,82775,CNY,2024-08,4.53,374970.75
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M1238C,49500,KG,212850,CNY,2024-08,4.53,964210.5
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M9920A,49475,KG,212743,CNY,2024-08,4.53,963725.79
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M6050C,27500,KG,118250,CNY,2024-08,4.53,535672.5
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M7705A,4125,KG,17738,CNY,2024-08,4.53,80353.14
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M9346B,49500,KG,212850,CNY,2024-08,4.53,964210.5
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M7140C,85250,KG,366575,CNY,2024-08,4.53,1660584.75
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M9789B,2750,KG,11825,CNY,2024-08,4.53,53567.25
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M8226B,22000,KG,94600,CNY,2024-08,4.53,428538.0
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M8273C,24750,KG,106425,CNY,2024-08,4.53,482105.25
2024-08-31,CHINA-WAREHOUSE,MAT-0099,M4222A,5500,KG,23650,CNY,2024-08,4.53,107134.5
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P9558A,0,KG,99,CNY,2024-08,4.53,448.47
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P9373A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P2030A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P8784A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P1371A,0,KG,198,CNY,2024-08,4.53,896.94
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P9091A,10175,KG,40590,CNY,2024-08,4.53,183872.7
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P2167A,25300,KG,100485,CNY,2024-08,4.53,455197.05000000005
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P2034A,35875,KG,142065,CNY,2024-08,4.53,643554.4500000001
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P2277A,346700,KG,1372932,CNY,2024-08,4.53,6219381.96
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P5803A,0,KG,396,CNY,2024-08,4.53,1793.88
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P6671A,25500,KG,101376,CNY,2024-08,4.53,459233.28
2024-08-31,CHINA-WAREHOUSE,MAT-0375,P2261A,61475,KG,243441,CNY,2024-08,4.53,1102787.73
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P6168A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P1801A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P4972A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P6572A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P9562A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P6603A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P9726A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P9630A,0,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P1503A,152800,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P2207A,382375,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P2093A,1500,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P8018A,25,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0376,P6453A,425,KG,0,CNY,2024-08,4.53,0.0
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P8244A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P1540A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P3115A,200,KG,1089,CNY,2024-08,4.53,4933.17
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P9167A,20850,KG,82863,CNY,2024-08,4.53,375369.39
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P1192A,0,KG,396,CNY,2024-08,4.53,1793.88
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P3021A,178375,KG,706662,CNY,2024-08,4.53,3201178.8600000003
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P7233A,0,KG,396,CNY,2024-08,4.53,1793.88
2024-08-31,CHINA-WAREHOUSE,MAT-0312,P6259A,25500,KG,101376,CNY,2024-08,4.53,459233.28
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P6715A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P2071A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P4793A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P4158A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P8287A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P7183A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P5430A,0,KG,297,CNY,2024-08,4.53,1345.41
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P3178A,0,KG,396,CNY,2024-08,4.53,1793.88
2024-08-31,CHINA-WAREHOUSE,MAT-0233,P7722A,2225,KG,8811,CNY,2024-08,4.53,39913.83
